tconst,titleType,startYear,averageRating,numVotes,Popularity,threshold
tt0018066,movie,1927,7.3,1399,2.48686295,2
tt0018097,movie,1927,6.8,1142,2.151923328,2
tt0018192,movie,1927,8.1,6501,7.813345568,3
tt0018217,movie,1927,7.4,6593,7.805840452,2
tt0018311,movie,1927,6.6,1332,2.316975704,2
tt0018328,movie,1927,6.2,2973,3.934903514,2
tt0018379,movie,1927,7.7,2961,4.140066983,2
tt0018451,movie,1927,7.6,1285,2.413921771,2
tt0018455,movie,1927,8.1,44939,47.06897024,3
tt0018471,movie,1926,6.9,1410,2.440118607,2
tt0018505,movie,1927,7.5,990,2.098152168,2
tt0018526,movie,1927,7.6,2393,3.545490326,2
tt0018528,movie,1927,7.8,6766,8.040498707,2
tt0018578,movie,1927,7.5,10652,11.96567508,2
tt0018684,movie,1928,7.5,909,2.015429196,2
tt0018737,movie,1929,7.9,9274,10.61634161,2
tt0018742,movie,1928,8.1,9607,10.9854141,3
tt0018756,movie,1928,5.6,1870,2.721473825,1
tt0018770,movie,1928,7.3,3215,4.341491557,2
tt0018773,movie,1928,8.2,24267,25.97174534,3
tt0018806,movie,1928,8.1,7076,8.400576542,3
tt0018839,movie,1928,7.5,3710,4.876009993,2
tt0018876,movie,1928,5.9,2332,3.236784892,1
tt0019071,movie,1928,8,3129,4.3551243,3
tt0019074,movie,1928,7.6,1646,2.782600695,2
tt0019109,movie,1928,7.8,1931,3.102652168,2
tt0019130,movie,1928,7.7,5396,6.6268625,2
tt0019195,movie,1928,7.3,1136,2.218268608,2
tt0019237,movie,1928,6.8,1467,2.483836487,2
tt0019254,movie,1928,8.1,43312,45.4073619,3
tt0019258,movie,1928,7.4,2305,3.426629292,2
tt0019286,movie,1928,7.1,1690,2.755063723,2
tt0019304,movie,1928,6.7,1036,2.029173993,2
tt0019344,movie,1928,7.2,2444,3.539596834,2
tt0019379,movie,1928,7.6,3412,4.586165739,2
tt0019412,movie,1928,7.7,3049,4.229938854,2
tt0019415,movie,1928,7.6,2962,4.126593673,2
tt0019421,movie,1928,7.9,12263,13.6689214,2
tt0019429,movie,1928,7.4,2033,3.14884351,2
